original_keyword,english_translation
Vestuvinis žiedas,Wedding Ring
Vjenčani prsten,Wedding Ring
Vyro vestuvinis žiedas,Men's Wedding Ring
Vīrieša laulību gredzens,Men's Wedding Ring
Ženski poročni prstan,Women's Wedding Ring
за глезен,Anklet
Ženska minđuša,Women's Earring
Ženski naušnica,Women's Earring
Ženski uhani,Women's Earring
Boucle d'oreille femme,Women's Earring
Brincos Feminino,Women's Earring
Damen ohrring,Women's Earring
Dames Oorbellen,Women's Earrings
Dámský náušnice,Women's Earring
Kvinnens ørering,Women's Earring
Moteriškas auskaras,Women's Earring
Naisen korvakoru,Women's Earring
Kadın Küpe,Women's Earring
Kvinnans örhänge,Women's Earring
Pendiente de mujer,Women's Earring
Sievietes auskars,Women's Earring
Мъжки гривна,Men's Bracelet
男士Bracelet,Men's Bracelet
Bracciale da uomo,Men's Bracelet
Bracelet bărbați,Men's Bracelet
Bracelet para hombre,Men's Bracelet
Bracelet pour homme,Men's Bracelet
Férfi Bracelet,Men's Bracelet
Heren armband,Men's Bracelet
Herr Bracelet,Men's Bracelet
Herren-Bracelet,Men's Bracelet
Meeste käevõru,Men's Bracelet
Muška narukvica,Men's Bracelet
Pánský náramek,Men's Bracelet
Vīriešu Aproces,Men's Bracelet
Cercei bărbați,Men's Earring
Herre øreringe,Men's Earring
Herren-Ohrring,Men's Earring
Pendiente para hombre,Men's Earring
Мъжки обеци,Men's Earring
Мъжки пръстен,Men's Ring
男士Ring,Men's Ring
Ring de Hombre,Men's Ring
Gemelli,Cufflinks
Gemelo,Cufflinks
Manchetknap,Cufflinks
Manschettenknöpfe,Cufflinks
Копчета за ръкавели,Cufflinks
Cercei Dama,Women's Earring
Kvindes ørering,Women's Earring
Női fülbevaló,Women's Earring
Orecchino da donna,Women's Earring
Ženski obesek,Women's Pendant
Ženski privezak,Women's Pendant
Ženski privjesak,Women's Pendant
Liontin wanita,Women's Pendant
Moteriškas pakabukas,Women's Pendant
Mặt dây chuyền nữ,Women's Pendant
Naise ripats,Women's Pendant
Pendant damski,Women's Pendant
Sievietes kulons,Women's Pendant
Ženska ogrlica,Women's Necklace
Naisen kaulakoru,Women's Necklace
Naszyjnik damski,Women's Necklace
Necklace de Mujer,Women's Necklace
Ringen,Ring
Ringer,Ring
반지,Ring
Heren ring,Men's Ring
Nhẫn,Ring
여성 결혼 반지,Women's Wedding Ring
여성반지,Women's Ring
반지,Ring
남성 결혼 반지,Men's Wedding Ring
약혼 반지,Engagement Ring
목걸이,Necklace
남성 반지,Men's Ring
여성 목걸이,Women's Necklace
커프스단추,Cufflinks
여성 펜던트,Women's Pendant
어린이 반지,Children's Ring
귀걸이,Earring
여성 팔찌,Women's Bracelet
女士婚戒,Women's Wedding Ring
婚戒,Wedding Ring
結婚Ring,Wedding Ring
女士Ring,Women's Ring
男士婚戒,Men's Wedding Ring
Брачна халка,Wedding Ring
Ring за двойка,Couple's Ring
Дамска Брачна халка,Women's Wedding Ring
Женски пръстен,Women's Ring
Collana per bambino,Children's Necklace
Bracciale per bambino,Children's Bracelet
Bracciale da donna,Women's Bracelet
Boucle d'oreille homme,Men's Earring
Orecchino da uomo,Men's Earring
Orecchini da uomo,Men's Earring
Boucles d'oreilles homme,Men's Earring
Dames Ring,Women's Ring
Dames Trouwring,Women's Wedding Ring
Damesring,Women's Ring
Dames Ringen,Women's Rings
Herren trauring,Men's Wedding Ring
Ehering,Wedding Ring
Trauring,Wedding Ring
Snubní Ringy,Wedding Rings
Náhrdelník,Necklace
Prívesok,Pendant
Naise abielusõrmus,Women's Wedding Ring
Meeste sõrmused,Men's Rings
Mehe abielusõrmus,Men's Wedding Ring
Naiste sõrmused,Women's Rings
Kihlasõrmus,Engagement Ring
Lapse kõrvarõngas,Children's Earring
Meeste sõrmus,Men's Ring
Käevõru,Bracelet
Naise kõrvarõngas,Women's Earring
Bracelet para Niño,Children's Bracelet
Lapse sõrmus,Children's Ring
Necklace para Niño,Children's Necklace
Naise käevõru,Women's Bracelet
Naise sõrmus,Women's Ring
Erkek Yüzüğü,Men's Ring
Ring de fiançailles,Engagement Ring
Nişan Ring,Engagement Ring
Kol Düğmesi,Cufflinks
Anel,Ring
Anello,Ring
Anillo,Ring
Bague,Ring
Gredzens,Ring
Ringe,Rings
Colgante,Pendant
Pandantiv,Pendant
Medál,Pendant
Prívesok,Pendant
Náhrdelník,Necklace
Collier,Necklace
Halskette,Necklace
Kette,Necklace
Ohrring,Earring
Oorbellen,Earrings
Náušnice,Earring
Naušnica,Earring
Minđuša,Earring
Armband,Bracelet
Käevõru,Bracelet
Pulsera,Bracelet
Anel masculino,Men's Ring
Dámsky prívesok,Women's Pendant
Fede nuziale uomo,Men's Wedding Ring
Fede nuziale donna,Women's Wedding Ring
Fede nuziale,Wedding Ring
Гривна,Bracelet
Karikagyűrű,Wedding Ring
Női gyűrű,Women's Ring
Női karikagyűrű,Women's Wedding Ring
Páros gyűrű,Couple's Ring
Eljegyzési gyűrű,Engagement Ring
Női nyaklánc,Women's Necklace
Férfi Pendant,Men's Pendant
Gyerek fülbevaló,Children's Earring
Nyaklánc,Necklace
Gyűrű,Ring
Nhẫn Nam,Men's Ring
Nhẫn Nữ,Women's Ring
Nhẫn cưới nam,Men's Wedding Ring
Nhẫn cưới nữ,Women's Wedding Ring
Nhẫn cưới,Wedding Ring
Nhẫn nam,Men's Ring
Nhẫn nữ,Women's Ring
Dây chuyền nữ,Women's Necklace
Khuy Măng Sét,Cufflinks
Mặt Dây Chuyền,Pendant
Bông tai nữ,Women's Earring
Obrączka ślubna,Wedding Ring
Obrączka ślubna damska,Women's Wedding Ring
Obrączka ślubna męska,Men's Wedding Ring
Ring dla mężczyzny,Men's Ring
Kolczyki dziecięce,Children's Earring
Ring Męski,Men's Ring
Ring de Nuntă,Wedding Ring
Ring bărbați,Men's Ring
Verigheta Bărbați,Men's Wedding Ring
Pendante bărbați,Men's Pendant
Sievietes laulību gredzens,Women's Wedding Ring
Laulību gredzens,Wedding Ring
Vīriešu Gredzeni,Men's Rings
Bērna auskars,Children's Earring
Kadın Ring,Women's Ring
Kadın Wedding Ring,Women's Wedding Ring
Moteriškas vėrinys,Women's Necklace
Moteriškas vestuvinis žiedas,Women's Wedding Ring
Žiedai Moterims,Women's Rings
Žiedai Vyrams,Men's Rings
Sąsagos,Cufflinks
Moški poročni prstan,Men's Wedding Ring
Moški prstani,Men's Rings
Muški Ring,Men's Ring
Muški prsteni,Men's Rings
Ženski prstan,Women's Ring
Ženski prstani,Women's Rings
Ženski Ring,Women's Ring
Ženski vjenčani prsten,Women's Wedding Ring
Otroška uhani,Children's Earring
Manšetni gumb,Cufflinks
Muški venčani prsten,Men's Wedding Ring
Verenički prsten,Engagement Ring
Mænds vielsesring,Men's Wedding Ring
Kvindes halskæde,Women's Necklace
Herre vedhæng,Men's Pendant
Mænds ring,Men's Ring
Parrets løftering,Couple's Ring
Pánsky svadobný prsteň,Men's Wedding Ring
Pánský prsten,Men's Ring
Pánský přívěsek,Men's Pendant
Zásnubný prsteň,Engagement Ring
Manžeta,Cufflinks
Manžetna,Cufflinks
Manžetové gombíky,Cufflinks
Manžetové knoflíčky,Cufflinks
Páry prsteny slibu,Couple's Promise Rings
Mansetinööp,Cufflinks
Дамска пръстен,Women's Ring
Мъжка Wedding Ring,Men's Wedding Ring
Дамска колие,Women's Necklace
Мъжки огърлица,Men's Necklace
Колие,Necklace
Висулка,Pendant
Висулка,Pendant
Natural Колие,Necklace
女士Ring,Women's Ring
男士Ring,Men's Ring
結Wedding Ring指,Wedding Ring
女士结Wedding Ring指,Women's Wedding Ring
女士项链,Women's Necklace
袖扣,Cufflinks
吊坠,Pendant
Hängsmycke,Pendant
Hängsmycke,Pendant
Par löftesring,Couple's Promise Ring
Halskæde,Necklace
Vėriniai,Necklace
Fülbevaló,Earring
Pendant Męski,Men's Pendant
Kolczyk Męski,Men's Earring
Kolczyk damski,Women's Earring
Bransoletki dziecięce,Children's Bracelet
Bērna kulons,Children's Pendant
Sievietes rokassprādze,Women's Bracelet
Moteriškas apyrankė,Women's Bracelet
Vyriški pakabukai,Men's Pendants
Apyrankė,Bracelet
Otroška obesek,Children's Pendant
Dečiji minđuša,Children's Earring
Dečiji narukvica,Children's Bracelet
Dečiji ogrlica,Children's Necklace
Dečiji privezak,Children's Pendant
Dječji naušnica,Children's Earring
Dětský náramek,Children's Bracelet
Dětský náhrdelník,Children's Necklace
Dětský prstýnek,Children's Ring
Dětský přívěsek,Children's Pendant
Detský náhrdelník,Children's Necklace
Detský náušnice,Children's Earring
Detský náramok,Children's Bracelet
Dámský náramek,Women's Bracelet
Dámsky náramok,Women's Bracelet
Dámsky náušnice,Women's Earring
Pánsky prívesok,Men's Pendant
Pánské náušnice,Men's Earring
Muški privezak,Men's Pendant
Muški privjesak,Men's Pendant
Muške minđuše,Men's Earring
Női karkötő,Women's Bracelet
Férfi Fülbevaló,Men's Earring
Gyerek medál,Children's Pendant
Gyerek nyaklánc,Children's Necklace
Gyerek gyűrű,Children's Ring
Mặt dây chuyền nam,Men's Pendant
Mặt dây chuyền trẻ em,Children's Pendant
Дамска гривна,Women's Bracelet
Детска пръстен,Children's Ring
Мъжки колие,Men's Necklace
Kvindes armbånd,Women's Bracelet
Barns halskæde,Children's Necklace
Barn øredobber,Children's Earring
Børnering,Children's Ring
Barn Hänge,Children's Pendant
Barn Örhänge,Children's Earring
Barns vedhæng,Children's Pendant
Barns armbånd,Children's Bracelet
Herr Hängsmycke,Men's Pendant
Ørering,Earring
Halskjede,Necklace
Erkek Küpesi,Men's Earring
Erkek,Men's
吊坠,Pendant
儿童吊坠,Children's Pendant
儿童耳环,Children's Earring
女士Bracelet,Women's Bracelet
男士Bracelet,Men's Bracelet
Necklace de Mujer,Women's Necklace
Pendant damski,Women's Pendant
Медальон,Pendant
ペンダント,Pendant
Muški prsten,Men's Ring
Ženski prsteni,Women's Rings
Ženski narukvica,Women's Bracelet
Ženski zapestnica,Women's Bracelet
Naszyjniki dziecięce,Children's Necklaces
Ženski venčani prsten,Women's Wedding Ring
Обеци,Earrings
Necklaceта,Necklace
Aproču Pogas,Cufflinks
iki piršto vidurio,Knuckle Ring
Ogrlica,Necklace
lüxury,luxury
Lüxury,Luxury
Céline,Celine
Chaîne,Chaine
Flügelina,Flugelina
Lüliti,Luliti
Mari̇tza,Maritza
女士结婚Ring,Women's Wedding Ring
Kadın Yüzük,Women's Ring
Engagement Ringe,Engagement Ring
女士结婚Ring指,Women's Wedding Ring
Žiedas,Ring
Snubní Prsteny,Wedding Rings
Snubné Prstene,Wedding Rings
Pánský snubní prsten,Men's Wedding Ring
Dámský snubní prsten,Women's Wedding Ring
Snubní prsten,Wedding Ring
Snubní Prsten,Wedding Ring
Inel de Nuntă,Wedding Ring
Inele de Nuntă,Wedding Rings
Bague de fiançailles,Engagement Ring
Brățară bărbați,Men's Bracelet
Collar para Niño,Children's Necklace
Pulsera para Niño,Children's Bracelet
Anillo para Niño,Children's Ring
Dama Brățară,Women's Bracelet
Alliance pour homme Exotic Chaîne,Men's Wedding Ring Exotic Chaine
Alliance pour femme Exotic Chaîne,Women's Wedding Ring Exotic Chaine
Damen trauring,Women's Wedding Ring
Damenring,Women's Ring
Damring,Women's Ring
Heren Trouwring,Men's Wedding Ring
Herenring,Men's Ring
Herrering,Men's Ring
Herring,Men's Ring
Kvinnans vigselring,Women's Wedding Ring
Kvinnans ring,Women's Ring
Kvinnens giftering,Women's Wedding Ring
Mannens giftering,Men's Wedding Ring
Mannens ring,Men's Ring
Mies vihkisormus,Men's Wedding Ring
Nainen vihkisormus,Women's Wedding Ring
Erkek Ring,Men's Ring
Erkek Wedding Ring,Men's Wedding Ring
Ring de Mujer,Women's Ring
Ring pour hommes,Men's Ring
Giftering,Wedding Ring
Vielsesring,Wedding Ring
Vigselring,Wedding Ring
Vihkisormus,Wedding Ring
Trouwring,Wedding Ring
Porocni prstan,Wedding Ring
Paarring,Couple's Ring
Koppel Ring,Couple's Ring
Ghiul pentru barbati,Men's Ring
Rings pentru femei,Women's Rings
Rings til kvinder,Women's Rings
Ring Casamento Feminino,Women's Wedding Ring
Ring Femininos,Women's Rings
Kvindes ring,Women's Ring
Kvindes vielsesring,Women's Wedding Ring
Sieviesu Ring,Women's Ring
Kvinnering,Women's Ring
Naisten sormus,Women's Ring
Vrouwen Belofte Ring,Women's Promise Ring
Damen armreif,Women's Bangle
Herren-Pendant,Men's Pendant
Herren-Necklace,Men's Necklace
Paar versprechensring,Couple's Promise Ring
Dames Bracelet,Women's Bracelet
Dames armband,Women's Bracelet
Heren Earrings,Men's Earring
Heren hanger,Men's Pendant
Kinderketting,Children's Necklace
Koppels Belofte Ring,Couple's Promise Ring
Manchetknoop,Cufflink
Bouton de manchette,Cufflink
Ring Masculinos,Men's Ring
Abotoadura,Cufflink
Bracelete,Bracelet
Pendant para hombre,Men's Pendant
Bracelet de Mujer,Women's Bracelet
Oorbel,Earring
Bracelets voor Kinderen,Children's Bracelets
Pendentif,Pendant
Pendant de hombre,Men's Pendant
Bracelet pour enfant,Children's Bracelet
Ring de Pareja,Couple's Ring
Ring promesa pareja,Couple's Promise Ring
Brazalete de mujer,Women's Bangle
Women's ring,Women's Ring
Men's ring,Men's Ring
Prstan,Ring
Zapestnica,Bracelet
Гривна за глезен,Anklet
